Cutthroat1	hachazo de Bartuc
11493	Enfriamiento de trampa de catalizador reducido en 10 segundos\nRadio de trampa de incineración reducido en un 50%
11494	+1% de daño de trampa por cada 5 de fuerza base
11495	ÿc850% de Fuerza Añadida como Daño Mágico al modificador de ataque de Área de Efecto
11496	+3% de resistencia física por nivel base de resurgimiento\n+1% de resistencias elementales máximas por tótem de ese elemento
11497	-25% a las resistencias elementales enemigas para tus trampas
11498	ÿc3Daño de arma mejorado -150%\nÿc8Agrega 5 - 7 Daño de Fuego al Arma por cada 2% de Velocidad de Ataque
11499	Duración del baño de sangre aumentada en 5 segundos
11500	Puñalada: probabilidad de esquivar disminuida en un 100%\nPuñalada: duración aumentada en 8 segundos
11501	ÿc8El pulso de maná daña y congela un área grande\nAgrega 50% del maná actual como daño por frío\nMientras está en forma de hombre lobo:
11502	-75% de drenaje de maná en forma de hombre lobo
11503	Metal Solace: también mejora los tótems
11504	+1 Proyectil a Castigadores
11505	Los elementales de fuego heredan el daño de tus hechizos de fuego
11506	Los elementales de fuego heredan tu energía y enfoque de hechizos
11507	+1% de daño con hechizos de relámpagos por cada 2% de hallazgo de oro
11508	+3 Dragon Wyrms adicionales
11509	Dragon Breath: reduce el daño físico del arma en un 25%
11510	Hoplitas: +5% Poison Pierce por nivel base de plaga
11511	Recuento de Wyrm reducido en 5\nDragon Wyrms disparan dos rayos
11512	ÿc2\nÿc0(Activo durante la Bendición B)\nÿc8Gloria Nephalem\n
11513	ÿc2\nÿc0(Activo durante V- Bendición)\nÿc8Ojo de diente afilado\n
11514	Los efectos de orbe aplicados a este objeto se cuadriplican
11515	Regenera un 20% de vida durante 5 segundos al recibir daño con un arma
11516	+20% de daño total a Curare
11517	ÿc5-150% al daño de los súbditos invocados\n+250 Vida Regenerada por Segundo\n+20% de daño de habilidad Malicia\nÿc8Si no tienes habilidad definitiva:
11518	Orbes únicos Agregan +7 nivel adicional requerido
11519	ÿc5La vida de las sanguijuelas de inmersión\nÿc8Con el catalizador y el juicio equipados:
11520	ÿc5+24% de daño con hechizos Twilight Havoc por nivel base de Chronofield\n+12% de daño con hechizos Twilight Havoc por nivel base de habilidad arcana ofensiva\nÿc8Con el catalizador y el juicio equipados:
11521	ÿc5Hive agrega 0.75% de Vitalidad a la Energía por Nivel Base en el Árbol Arcano (Max 40%)\nÿc8Con el catalizador y el juicio equipados:
11522	Duración de la colmena reducida a 30 segundos
11523	+15% de daño de habilidad Malicia
11524	28% de la fuerza agregada como daño de rayo al arma
11525	Barrido de maná: -25% de daño total, sanguijuelas sin maná
11526	Furia: +4 segundos de duración base
11527	15% de Destreza agregado como Daño de Arma Mejorado\n-1% a la resistencia al veneno enemigo por cada 1% de probabilidad de bloqueo
11528	+15 Hachas para Overkill
11529	+50% de daño mágico adicional al rebote
11530	Efecto curativo de Apple mientras está equipado
11531	ÿc5+1 a todas las habilidades\n+20% al daño de hechizos elementales\n+25 enfoque de hechizo\nÿc0(Bonificación por oficios ocultos)\nÿc8Relicario Escondido
11532	33% de Destreza Agregada como Daño de Rayo al Arma
11533	+1 resurrección adicional
11534	Flecha dividida: +8 proyectiles
11535	+2 Proyectiles Tormenta de Arena
11536	Tamaño del cono de frío aumentado en un 50%
11537	+1 proyectiles de ganado enfermo
11538	+4% a Euphoria Pierce
11539	+1 tótem corazón de fuego extra
11540	+1 Tótem Garra de Escarcha adicional
11541	+1 Tótem Ojo de Tormenta Extra
11542	Frente de llamas: +1 Proyectil Máximo
11543	+1 espíritu guardián adicional
11544	
11545	+1 Hoplita adicional
11546	+1 elemental de hielo extra
11547	+1 proyectiles de lanza de hielo
11548	+5 Proyectiles Lluvia de Piedras
11549	+1 oso trueno extra
11550	
11551	+1 proyectiles de espinas de afeitar
11552	Duración del rayo de luna aumentada en 3 segundos
11553	Nightmare reduce la resistencia física en un 6%
11554	Enfriamiento de onda explosiva reducido a la mitad
11555	+8 Hachas para Overkill
11556	+1 proyectiles de espíritu de dolor
11557	Parasite gana 5 objetivos adicionales
11558	+150 de energía base a psicorona
11559	Triturar: Doble duración
11560	La duración de Spark of Hope aumentó en 15 segundos.
11561	+10 proyectiles de rebote
11562	Eviscerar: +2 Proyectiles
11563	+2 proyectiles de choque de roca
11564	+1 sirviente adicional
11565	La duración de Screaming Eagle aumentó en 3 segundos
11566	+1 proyectiles de dardos de plata
11567	20% Lightning Pierce para Slayers
11568	Llamarada Solar: +30% Duración
11569	Daño mágico de Disparo de esporas aumentado en un 100%
11570	+1 proyectiles de ráfaga de borrasca
11571	+2 proyectiles de cuervos tormentosos
11572	+2 cosechadoras adicionales
11573	+25% Perforación de fuego a elementales de fuego
11574	Esqueleto de sangre: +5 a Grim Vision Aura
11575	+3 halcones nocturnos adicionales
11576	Jinn: +4 a Hellfire Aura
11577	+1 lamia adicional
11578	+1 Rampagor adicional
11579	+15% de daño de hechizo elemental al aura de sangre demoníaca
11580	Rey del velo: +8% Golpe letal
11581	Enfriamiento de teletransporte reducido en 0.5 segundos (min: 2s)
11582	+3 proyectiles de tempestad máximos
11583	+1 tótem nube de veneno extra
11584	+30% de daño de arma mejorado en forma de hombre búho
11585	+25% de hallazgo mágico al estar cerca de un resucitado
11586	Marca del cazador: mayor daño por golpe
11587	+3 objetivos Wyrmshot
11588	Campeón del Santuario
11589	Incisión letal: +1 cuchilla adicional
11590	+2 Proyectiles Misiles Mágicos
11591	+10% de daño de Furia relámpago
11592	Blink restaura la resistencia si tienes un punto en Summon Familiars
11593	+2 Proyectiles Bloodstar
11594	+30% de daño adicional a Doom
11595	+75% de velocidad después de lanzar Jitan's Gate
11596	Derribo: +1 cargas máximas de furia
11597	+8% de daño total de tormenta psiónica
11598	+1 Proyectil a Punisher
11599	
ModitemEleInnateSeq	ÿc0Daño de fuego innato: ÿc1%dÿc0 (%.1f%% de %s)
x	ÿc0Daño de rayo innato: ÿc9%d ÿc0(%.1f%% de %s)
x	ÿc0Daño de frío innato: ÿc3%d ÿc0(%.1f%% de %s)
x	ÿc0Daño de veneno innato: ÿc2%d ÿc0(%.1f%% de %s)
x	ÿc0Daño mágico innato: ÿc8%d ÿc0(%.1f%% de %s)
x	ÿc0Daño trielemental innato: ÿc8%d ÿc0(%.1f%% de %s)
x	%d %.1f %s
x	%d %.1f %s
x	%d %.1f %s
x	%d %.1f %s
11610	
11611	Posición de la grulla de nivel 14
11612	Posición de la grulla de nivel 1
11613	Posición de la grulla de nivel 3
11614	Postura de grúa de nivel 7
11615	Postura de lobo de nivel 1
11616	Postura de león de nivel 6
11617	Postura de león de nivel 12
11618	Postura de oso de nivel 1
11619	Postura de águila de nivel 6
11620	Postura de águila de nivel 1
11621	+1% de velocidad de ataque por cada 25 de destreza
11622	+5% de daño elemental innato por nivel de personaje por encima de 137
11623	+10% de daño elemental innato por nivel de personaje superior a 137
11624	Transmutar en el cubo horádrico para mejorar\nSobrevive a la batalla de Edge of Nothingness durante 11 minutos\nDebe tener al menos 3000 Destreza\nMejora solo para cazadores:\n
11625	Y el abismo mira hacia atrás
11626	Postura de lobo de nivel 12
11627	Piedra perfecta del arcoíris
11628	Runas Sol, Tal, Ort
11629	2 cristales arcanos
11630	Joya rara
11631	Pierna de Wirt
11632	Emblema de destrucción (secreto)
11633	Emblema del Sufrimiento (Secreto)
11634	Emblema del Terror (Secreto)
11635	Emblema del Odio (Secreto)
11636	Emblema del dolor (secreto)
11637	Emblema de mentiras (secreto)
11638	ÿc0Cubo con Ingredientes separados para Diseñar\n
11639	ÿc0Cubo con Aceite de Artesanía para Crear\n
StrStashPageLocal	Página de almacenamiento: 
StrStashPageShared	Página de almacenamiento compartido: 
StrStashToggleShared	Cambiar a almacenamiento compartido
StrStashToggleLocal	Cambiar al almacenamiento local
StrStashNextPage	Siguiente página
StrStashPrevPage	Pagina anterior
11646	10% de hallazgo mágico por piedra arcoíris engarzada\n+1 a todas las habilidades por cada 2 piedras arcoíris engarzadas
11647	El daño de Lightning Arena aumentó en un 1000%
11648	La duración de Churel Buff aumentó en un 66%
11649	Aura de fuego infernal de nivel 5
11650	Dark Power agrega 1% de daño elemental innato por nivel de habilidad
11651	Firedance no agrega daño de hechizo
11652	Hive agrega 1% de daño de hechizo de veneno por nivel de habilidad
11653	20% de hallazgo mágico por piedra arcoíris engarzada\n+1 a todas las habilidades por cada 2 piedras arcoíris engarzadas
11654	40% menos de curación de pociones
11655	(Solo arma)
11656	(Solo armadura)
11657	(Solo anillo, amuleto o carcaj)
11658	(Cualquier artículo equipable)
11659	200% de bonificación a la duración de Miasma Haunt
11660	La duración de Miasma Haunt aumentó en 2 segundos
11661	+50% de bonificación a la duración de Miasma Haunt
11662	+150% de bonificación a la duración de Miasma Haunt
11663	+200% de daño mejorado a Moonstrike
11664	Transformación de druida
11665	30% de daño mejorado contra necrobots
11666	Aumento de la tasa de curación de las manzanas en un 50%
11667	Aumento de la tasa de curación de las manzanas en un 100%
11668	+1 a Todas las Habilidades al usar un Apple
11669	+2 a Todas las Habilidades al usar un Apple
11670	+3 a Todas las Habilidades al usar un Apple
11671	+15% de daño a la sed de sangre del espíritu protector\n
11672	+30% de daño a la sed de sangre del espíritu protector\n
11673	+50% de daño a la sed de sangre del espíritu protector\n
11674	Resplandor abrasador: Dazzle reduce la tasa de ataque del enemigo en un 5%
11675	10% de la energía total ganada como vida
StrSkillTabsAma	Divino
x	Arco
x	Jabalina
x	Lanza
x	Tormenta
x	Sangre
x	Maestría
x	Premio
x	
x	
StrSkillTabsAss	ninja
x	Lanzamiento
x	Garra
x	Naginata
x	trampas
x	psiónico
x	Maestría
x	Premio
x	
x	
StrSkillTabsBar	Nómada
x	sacudidor de la tierra
x	tallador de viento
x	elementalista
x	Belicista
x	Chamán
x	Maestría
x	Premio
x	
x	
StrSkillTabsDru	Naturaleza
x	hombre oso
x	Hombre-lobo
x	hombre búho
x	Cazador
x	Vidente
x	Maestría
x	Premio
x	
x	
StrSkillTabsNec	Portavoz de la muerte
x	Convocar
x	Pelea confusa
x	Ballesta
x	Malicia
x	Tótem
x	Maestría
x	Premio
x	
x	
StrSkillTabsPal	aspectos
x	templario
x	Encarnación
x	Nephalem
x	Ritualista
x	Brujo
x	Maestría
x	Premio
x	
x	
StrSkillTabsSor	Arcano
x	Fuego
x	Relámpago
x	Frío
x	Veneno
x	Pelea confusa
x	Maestría
x	Asamblea de brujas
x	Premio
x	
11746	Tu daño por frío se anula
11747	Cuando está equipado con Acokanthera: +1 segundo de duración a Nube devoradora
11748	-1% a las resistencias elementales enemigas por cada 150 de destreza
11749	Carnage ahora convierte el 100% del daño físico en fuego
11750	La conversión de carnicería se reduce en un 1% por nivel base\nSu daño de fuego es anulado
RightClickToUnsummon	Haga clic con el botón derecho para cancelar la invocación
11752	NO USADO
11753	+5-10 de daño por nivel de personaje por encima de 138
11754	Holy Shock tiene 1200 de daño base, aumenta en un 1% por cada 7 de energía\nChoque sagrado de nivel 1
11755	Con 15 niveles básicos en Runemaster: 10% de golpe mortal\nAl menos 1 nivel base en Runemaster: resistencias elementales máximas +2%
11756	(El que sea más alto)\n+1% de daño de arma mejorado por cada 50 de fuerza o destreza
11757	Aullido de los espíritus: +4 segundos de duración
11758	+100% de daño de fuego adicional para tomar represalias
strConfigDungeonTimer	Mostrar cuenta regresiva en mazmorras cronometradas
11760	Nivel 1 Chispa de esperanza
11761	-3% de daño de arma mejorado por cada 1% de maná perdido\n+200% de daño con armas mejoradas
11762	+1 caza misiles Banshee
11763	Psicrown ahora explota al impactar
11764	El rango de explosión de los lémures aumentó en un 75%
11765	Por debajo del 50% de vida: +100 de vida después de cada muerte\nPor encima del 70% de vida: -200 de vida después de cada muerte
11766	(elegir uno)\nHabilidad máxima
11767	Ring Of Flames gana +1% de daño total por nivel de personaje
11768	Llama viviente otorga +1% de daño con hechizos de fuego por cada 8 niveles de personaje
11769	Death Ripple agrega +10 de vida por nivel de habilidad\n+1 proyectil a onda mortal
11770	(bloquea otras devociones)\nÿc8Santa Devoción
11771	(bloquea otras devociones)\nÿc;Devoción profana
11772	(bloquea otras devociones)\nÿc0Devoción neutral
11773	+1% de daño elemental innato por cada 250 de fuerza y ​​destreza
11774	+1% de resistencia máxima al frío por cada 80% de resistencia al frío
11775	+25 daño de fuego por cada 100 de destreza
11776	La resistencia al fuego del enemigo se reduce con Lightning Pierce al 25% de eficiencia
11777	+10% de maná máximo si Llamarada solar está activa\n+40 Concentración de Hechizos si Sanguine Covenant está Activo
11778	En forma de hombre lobo: -10% de resistencia al frío del enemigo\nMientras está en forma de hombre búho: agrega 10-15 de daño
11779	Los caballeros del abismo obtienen un 1% de golpe aplastante por cada 75% de daño de los súbditos
11780	+1% de resistencia elemental máxima por cada 200% de daño de hechizos de relámpagos
11781	12% de probabilidad de lanzar Flamefront de nivel 42 en Death Blow cuando está por debajo del 80% de vida
11782	Sinergia de aceite Dragonfire aumentada en un 100%
11783	Si tienes 90% de resistencia al fuego: +50% de daño de hechizos de fuego
11784	La conversión del campo magnético disminuyó en un 2% por nivel básico
11785	Cura 0.05% de vida por segundo por 1% de maná perdido
11786	Por encima del nivel 100: +6-12 Daño de rayo por nivel de personaje\nHasta el nivel 100: +2-4 daños por rayo por nivel de personaje
11787	Si el Coliseo tiene 20 niveles base: +5% a evitar
11788	7% de probabilidad de lanzar Lifespark de nivel 5 en Death Blow cuando está por debajo del 50% de vida
11789	Los Abyss Knights tienen un 8% de probabilidad de lanzar Widowmaker de nivel 13 al matar
11790	ÿc0(no puedes usar dos armas)\nÿc8Base elemental cuerpo a cuerpo requerida
11791	ÿc5Dirge Probabilidades de lanzar aumentadas en un 10%\nÿc8Cuando Soulchain está activo:
11792	ÿc5Tótem Ojo de Tormenta tiene 6% de Probabilidad de lanzar Choque de Tormenta Nivel 44 en Golpe Mortal\nÿc5Fireheart Totem tiene 6% de probabilidad de lanzar Cataclysm de nivel 44 en Death Blow\nÿc5Tótem Garra Helada tiene un 6% de probabilidad de lanzar Ventisca de nivel 44 con Golpe letal\nÿc8Cuando Soulchain está activo:
11793	Las habilidades de Earthshaker tienen sus tiempos de reutilización reducidos en un 20%
11794	+3 a todos los Atributos\nÿc4Armas, Armadura:\n
11795	+3 al daño máximo\nÿc4Armadura:\n\nÿc0+5 al Daño Máximo\nÿc4Armas:\n
11796	+3% al daño de hechizos de fuego\nÿc4Armas, Armadura:\n
11797	+3% al daño de hechizos de relámpagos\nÿc4Armas, Armadura:\n
11798	+3% al daño de hechizos de frío\nÿc4Armas, Armadura:\n
11799	+3% al daño de hechizos de veneno\nÿc4Armas, Armadura:\n
11800	+3% al daño de hechizos físicos/mágicos\nÿc4Armas, Armadura:\n
11801	Resistencia al fuego +25%\nÿc4Armadura:\n\nÿc0Resistencia al fuego +30%\nÿc4Armas:\n
11802	Resistencia a rayos +25%\nÿc4Armadura:\n\nÿc0Resistencia al rayo +30%\nÿc4Armas:\n
11803	Resistencia al frío +25%\nÿc4Armadura:\n\nÿc0Resistencia al frío +30%\nÿc4Armas:\n
11804	Resistencia al veneno +25%\nÿc4Armadura:\n\nÿc0Resistencia al Veneno +30%\nÿc4Armas:\n
11805	+40 de maná\nÿc4Armadura:\n\nÿc0+60 de maná\nÿc4Armas:\n
11806	+10% de bonificación a la duración de la habilidad Veneno\nÿc4Armadura:\n\nÿc0+15% de bonificación a la duración de la habilidad Veneno\nÿc4Armas:\n
11807	+10% a la vida de los súbditos invocados\nÿc4Armas, Armadura:\n
11808	+5% al daño de los súbditos invocados\nÿc4Armas, Armadura:\n
11809	+50% al índice de ataque de los súbditos invocados\nÿc4Armas, Armadura:\n
11810	+5% a las resistencias de los súbditos invocados\nÿc4Armas, Armadura:\n
11811	5% a la fuerza\nÿc4Armas, Armadura:\n
11812	5% a Destreza\nÿc4Armas, Armadura:\n
11813	4% a la Vitalidad\nÿc4Armas, Armadura:\n
11814	5% a Energía\nÿc4Armas, Armadura:\n
11815	Resistencias elementales +10%\nÿc4Armas, Armadura:\n
11816	+3% a todos los atributos\nÿc4Armas, Armadura:\n
11817	+7% hallazgo mágico\nÿc4Armadura:\n\nÿc0+10% hallazgo mágico\nÿc4Armas:\n
11818	+15% de velocidad de ataque\nÿc4Armas, Armadura:\n
11819	+15% de velocidad de lanzamiento\nÿc4Armas, Armadura:\n
11820	+15% de recuperación de golpes\nÿc4Armas, Armadura:\n
11821	+15% de velocidad de bloqueo\nÿc4Armas, Armadura:\n
11822	Maná regenerado +5%\nÿc4Armadura:\n\nÿc0Regeneración de maná +15%\nÿc4Armas:\n
11823	Ralentiza al atacante en +2%\nÿc4Armadura:\n\nÿc0Objetivo lento +3%\nÿc4Armas:\n
11824	+15% Defensa Mejorada\nÿc4Armadura:\n\nÿc0+15% de daño mejorado\nÿc4Armas:\n
11825	Maná máximo +2%\nÿc4Armadura:\n\nÿc0Maná máximo +3%\nÿc4Armas:\n
11826	Indestructible\nÿc4Armas, Armadura:\n
11827	+x a la Fuerza\nx% a Fuerza\nx% de probabilidad de golpe aplastante\n
11828	+x a Destreza\nx% a Destreza\nx% de bonificación al índice de ataque\n
11829	+x a la vitalidad\nx% a la vitalidad\n+x vida regenerada por segundo\n
11830	+x a Energía\nx% a Energía\n+x Concentración de hechizos\n
11831	Agrega daño x-y\n+x% de daño mejorado\n
11832	ÿc5(Armadura)\nÿc0Resistencia Física +x%\n+x% Defensa Mejorada\n\nÿc5(Armas)\nÿc0x% golpe mortal\nRequisitos +x%\n+x% de daño mejorado\n
11833	+x% al daño de los súbditos invocados\n+x% al índice de ataque de los súbditos invocados\n
11834	+x% al daño de hechizos de fuego\n-x% a la resistencia al fuego enemigo\n
11835	+x% al daño de hechizos de relámpagos\n-x% a la resistencia al rayo enemigo\n
11836	+x% al daño de la ola de frío\n-x% a la resistencia al frío del enemigo\n
11837	+x% al daño de hechizos de veneno\n-x% a la resistencia al veneno enemigo\n
11838	+x% de velocidad de lanzamiento\nManá máximo +x%\nManá regenerado +x%\n
11839	+x% a la vida del súbdito invocado\n+x% a las resistencias de los súbditos invocados\n
11840	Resistencia mágica +x%\n+x% al daño de hechizos físicos/mágicos\n
11841	1% Reanimar como: Monstruo aleatorio\n1% Reanimar como: Monstruo aleatorio\n
11842	+x a todos los atributos\n+x% al daño elemental innato\n
strMercLabelStrength	Fuerza
strMercLabelDexterity	Destreza
strMercLabelEnergy	Energía
strMercLabelLife	La vida
strMercLabelDefense	Defensa
strMercLabelAttack	Puntuación de ataque
strMercLabelResistFire	Resistencia\nFuego
strMercLabelResistCold	Resistencia\nFrío
strMercLabelResistLtng	Resistencia\nRelámpago
strMercLabelResistPois	Resistencia\nVeneno
strMercLabelMf	Descubrimiento mágico
strMercLabelGf	hallazgo de oro
strMercLabelFireSpd	Deletrea peligro\nFuego
strMercLabelColdSpd	Deletrea peligro\nFrío
strMercLabelLtngSpd	Deletrea peligro\nRelámpago
strMercLabelPoisSpd	Deletrea peligro\nVeneno
11859	Puedes elegir hasta dos pasivos
11860	Puedes elegir hasta tres maestrías
11861	Desbloquea la habilidad de maestría: Tenacidad
11862	Desbloquea la habilidad de dominio: Química
11863	Desbloquea la habilidad de maestría: especialización
11864	Desbloquea la habilidad de maestría: Resistencia
11865	Desbloquea la habilidad de maestría: Continuidad
11866	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11867	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11868	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11869	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11870	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11871	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11872	Desbloquea la habilidad de dominio: MARCADOR DE POSICIÓN
11873	Todas las habilidades requieren forma de hombre oso
11874	Todas las habilidades requieren forma de hombre lobo
11875	Todas las habilidades requieren forma de hombre búho
11876	El alineamiento espiritual ya no agrega daño de hechizos de fuego/frío\nEl alineamiento espiritual agrega un 5% de daño de hechizos de relámpagos por nivel base
strPartyScreenKillCount	Monstruos asesinados
strPartyScreenTimePlayed	Horas jugadas
11879	Derribo: +1 cargas máximas de furia
strPartyScreenFriends	Amigos
strPartyScreenAddFriend	Añadir amigo
11882	Vindicar: +200% Duración
11883	Fuerza de vendaval: +1.3 yardas al área de efecto
11884	Gana el 50% de tu maná máximo como defensa
11885	- sin recibir daño de la Tormenta de Grieta\n- con al menos un Frozen Shambler vivo\nÿc2Derrota al Caminante del Rift Ascendente\nÿc0(encanto de cubo solo al finalizar)\nÿc7Misión de bonificación II\n
11886	- sin recibir daño de la Tormenta de Grieta\nÿc2Derrota al Caminante de fallas superior\nÿc0(encanto de cubo solo al finalizar)\nÿc7Misión de bonificación I\n
11887	Obtenga un 20% de su resistencia al veneno como reducción de la duración del veneno
11888	Martillo de Zerae: Sinergia Stormcall aumentada en un 100%
11889	NO USADO
11890	(bloquea otras devociones)\nÿc0Arco Devoción
11891	(bloquea otras devociones)\nÿc0Devoción a la jabalina
11892	(bloquea otras devociones)\nÿc0Lanza Devoción
11893	(bloquea otras devociones)\nÿc0Tormenta Devoción
11894	(bloquea otras devociones)\nÿc0Devoción de sangre
11895	6 runas de fuego
11896	6 runas de piedra
11897	6 runas arcanas
11898	6 Runas de Luz
11899	6 runas de hielo
11900	6 runas de veneno
11901	Costo de oro: 250,000\nCubo con 6 Runas para Crear
11902	+100 de daño por relámpagos por nivel de personaje por encima de 130
11903	+6 Vida por Cognición
11904	+3-5 de daño por nivel base de Thundercrack
11905	Obtienes los efectos secundarios de todas las habilidades exclusivas mientras estás sobrecargado
11906	Escudos: Resistencia al fuego +30%\nArmadura: 4% a la Vitalidad\nArmas: +10 Vida después de cada Muerte\n
11907	Escudos: Resistencia al Veneno +30%\nArmadura: +2 Vida Regenerada por Segundo\nArmas: +5 al daño máximo\n
11908	Escudos: Resistencia al frío +30%\nArmadura: Resistencia al frío +20%\nArmas: +8 maná después de cada asesinato\n
11909	Escudos: Resistencia a los rayos +30%\nArmadura: 5% a la Energía\nArmas: +10 enfoque de hechizos\n
11910	Escudos: resistencias elementales +5%\nArmadura: 5% a la Fuerza\nArmas: +3% al daño de hechizos\n
11911	Escudos: +5 de maná cuando es golpeado por un enemigo\nArmadura: 5% a Destreza\nArmas: 50% de bonificación al índice de ataque\n
11912	Escudos: longitud del veneno reducida en un 5%\nArmadura: +10% Defensa Mejorada\nArmas: +10% de daño mejorado\n
11913	Escudos: 10% de reducción de la duración de la maldición\nArmadura: 8% Hallazgo de oro\nArmas: 3% de daño elemental innato\n
11914	Escudos: +5% a las resistencias de los súbditos invocados\nArmadura: Resistencia al fuego +20%, Resistencia máxima al fuego +1%\nArmas: +10% a la vida de los súbditos invocados\n
11915	Escudos: Objetivo lento 2%\nArmadura: Resistencia al frío +20%, Resistencia máxima al frío +1%\nArmas: +5% al daño de los súbditos invocados\n
11916	Escudos: ralentiza al atacante en un 2%\nArmadura: Resistencia a rayos +20%, Resistencia máxima a rayos +1%\nArmas: 2% Reanimar como: Caminante\n
11917	Escudos: 8% hallazgo mágico\nArmadura: resistencia al veneno +20%, resistencia máxima al veneno +1%\nArmas: maná regenerado +10%\n
11918	+1% de probabilidad de bloqueo por cada 300 de maná\n+1 índice de ataque por cada 3 de maná
11919	
11920	
11921	
11922	
11923	
11924	
11925	
11926	Principio de la armonía
11927	Principio de moderación
11928	Principio de vigor
11929	Principio de la Sabiduría
11930	Principio de juicio
11931	Principio del conflicto
11932	3 cristales arcanos
11933	2 cristales corruptos
11934	Gran sello de aprendizaje
11935	3 anillos únicos
11936	3 amuletos únicos
11937	3 armaduras corporales únicas sagradas
11938	3 cinturones únicos sagrados
11939	3 guantes únicos sagrados
11940	3 botas únicas sagradas
11941	4 ciclos grandes
11942	4 fragmentos de trofeo
11943	5 runas encantadas
11944	Reliquia
11945	25 santuarios
11946	3 orbes místicos únicos
11947	Control del clima
11948	El sueño
11949	Libros de Kalan
11950	trance fantasma
11951	La ilusión de Xazax
11952	Pacto de Neutralidad
11953	(Mejores artículos y más oro cuestan cuanto mayor sea la runa)\nRestaurar oro Costo: 20,000 - 500,000\nCubo con Cristal Arcano y Runa Encantada para Restaurar
11954	Transmutar en el Cubo para Abrir
11955	Cubo con runa encantada para desbloquear
11956	ÿc0Coste del oro: 666,666\nCubo con Aceite de Artesanía para Crear\n
11957	ÿc0Costo de oro: 1,000,000\nCubo con Aceite de Artesanía para Crear\n
11958	ÿc0Costo de oro: 1,000,000\nCubo con Aceite de Artesanía para Crear\n
11959	ÿc0Costo de oro: 2,500,000\nCubo con Aceite de Artesanía para Crear\n
11960	
11961	
11962	
11963	
11964	
11965	
11966	
11967	
11968	
11969	
11970	
11971	
11972	
11973	
11974	
11975	
11976	
11977	
11978	
11979	
11980	
11981	
11982	
11983	
11984	
11985	
11986	
11987	
11988	Costo de oro: 5000\nÿc8+(1 a 3)% Hallazgo Mágico\n
11989	Costo de oro: 5000\nÿc8Requisitos -(2 a 4)%\n
11990	Costo de oro: 5000\nÿc8+(4 to 6)% a la vida del súbdito invocado\n
11991	Costo de oro: 10000\nÿc8Resistencia elemental +(3 a 5)%\n
11992	Costo de oro: 10000\nÿc8+(1 a 2) de maná después de cada muerte\n+(2 a 4) de vida después de cada asesinato\n
11993	Costo de oro: 10000\nÿc8+(2 a 4)% a las resistencias de los súbditos invocados\n
11994	Costo de oro: 15000\nÿc8+(3 a 5) a Todos los Atributos\n
11995	Costo de oro: 15000\nÿc8+(1 a 4) de maná en ataque cuerpo a cuerpo\n+(2 a 8) de vida en ataque cuerpo a cuerpo\n
11996	Costo de oro: 15000\nÿc8+(1 a 3)% al daño de los súbditos invocados\n
11997	Costo de oro: 25000\nÿc8+(1 a 2)% al daño de hechizos\n
11998	Costo de oro: 25000\nÿc8+(1 a 2)% de maná robado por golpe\n+(1 a 2)% de vida robada por golpe\n
11999	Costo de oro: 25000\nÿc8+(2 a 4) al Daño Máximo\n
12000	Costo de oro: 50000\nÿc8+(4 a 8) Concentración de hechizos\n
12001	Costo de oro: 50000\nÿc8+1% a la experiencia ganada\n
12002	Costo de oro: 50000\nÿc8 Indestructible\n
12003	marcador de posición de joyería
12004	marcador de posición de joyería
12005	marcador de posición de joyería
12006	marcador de posición de joyería
12007	marcador de posición de joyería
12008	5% de probabilidad de lanzar Slayer de nivel 50 en Death Blow
12009	Permite un compañero de oso adicional
12010	+4 proyectiles de cuervos tormentosos
12011	+25 Defensa por cada 1% de Daño de Hechizos de Fuego
12012	30% agregado como Daño Físico de Armas (Max +150%)
12013	36% agregado como Daño Físico de Armas (Max +150%)
12014	6% añadido como daño elemental innato (máx. +25%)
12015	8% añadido como daño elemental innato (máx. +25%)
12016	15% añadido como daño de hechizos de fuego y relámpagos (máx. +40%)
12017	18% añadido como daño de hechizos de fuego y relámpagos (máx. +40%)
12018	15% agregado como daño de hechizos de frío y veneno (máx. +40%)
12019	18% agregado como daño de hechizos de frío y veneno (máx. +40%)
12020	15% agregado como daño de hechizos físicos y mágicos (máx. +40%)
12021	18% agregado como daño de hechizos físicos y mágicos (máx. +40%)
12022	5% añadido como hallazgo mágico (máx. +100%)
12023	6% añadido como hallazgo mágico (máx. +100%)
12024	ÿc3Otorga estadísticas basadas en la suma de tu daño adicional a No-muertos y Demonios\nÿc0Equipar varias campanas elimina todas las bonificaciones
12025	Árbol de lanzador de conjuros cuerpo a cuerpo
12026	Los Servants of Valor tienen un 4% de probabilidad de lanzar poder oscuro de nivel 51 al matar
12027	Permite un Slayer adicional
12028	Añade un 1% de golpe aplastante por cada 4% de daño de hechizos de fuego.
12029	Abyss Knights mueren después de ser convocados
12030	Marcado para la duración de la muerte aumentó en 0.2 segundos
strMercLabelResistPhys	Resistencia\nFísico
CfgDisplayGamePing	El ping del juego cuando se usa el mapa automático
